Date,Distance (km),Time,Avg. Pace (Min/km),Avg. Heart Rate (BPM),Total Calories (CAL),Avg. Power (W),Elevation Gain (m),Cadence (spm),Vertical Oscillation (cm),Stride Length (m),Ground Contact Time (ms),Fatigue,Goal_Distance,Goal_Time,Remaining_Days
01/03/2023,5.03,12:31:38 AM,6.17,160,392,199,25,153,10.2,1.0,263,96.78986437635471,21097,10546,12
01/05/2023,5.02,12:33:28 AM,6.43,156,398,200,40,148,10.1,1.0,265,64.65246963283778,21097,10546,1
01/07/2023,8.01,12:50:46 AM,6.21,165,653,195,82,159,9.9,0.9,266,34.44397650034905,21097,10546,2
01/10/2023,3.47,12:25:50 AM,7.27,140,276,204,65,137,9.9,1.0,258,21.80792181276685,21097,10546,8
01/12/2023,5.03,12:30:38 AM,6.09,154,362,198,26,159,9.9,1.0,260,66.03169100817978,21097,10546,11
01/14/2023,10.01,01:03:58 AM,6.24,163,790,194,98,160,9.6,0.9,255,62.346854729792256,21097,10546,3
01/17/2023,4.53,12:30:02 AM,6.37,150,326,188,42,152,9.8,0.9,267,73.1998749586379,21097,10546,7
01/19/2023,4.36,12:29:54 AM,6.51,151,329,222,40,144,9.5,1.0,249,93.68772860780356,21097,10546,7
01/21/2023,11.29,01:08:17 AM,6.03,169,881,207,161,167,9.4,0.9,257,38.598725004958126,21097,10546,10
01/24/2023,7.35,12:46:29 AM,6.19,155,569,213,86,156,9.5,0.9,264,28.368570576681307,21097,10546,15
01/25/2023,6.4,12:41:14 AM,6.26,154,474,210,51,151,9.7,1.0,259,27.27658202517006,21097,10546,10
01/27/2023,3.37,12:26:32 AM,7.52,130,267,199,59,135,9.3,0.9,268,23.1094010217061,21097,10546,15
01/28/2023,16.06,01:36:15 AM,6.0,164,1174,212,120,161,9.4,0.9,258,70.05321442937439,21097,10546,13
01/30/2023,10.68,01:01:05 AM,5.43,167,779,221,87,162,9.4,1.0,258,61.951369387869406,21097,10546,8
02/01/2023,6.45,12:34:52 AM,5.26,165,472,230,55,163,9.5,1.0,257,43.55440785729881,21097,10546,5
02/03/2023,3.88,12:30:04 AM,7.44,130,300,171,48,145,9.3,0.9,274,40.38861821329033,21097,10546,12
02/04/2023,16.12,01:32:16 AM,5.44,164,1199,212,112,166,9.5,0.9,245,99.81489980509492,21097,10546,3
02/08/2023,7.14,12:42:41 AM,5.59,158,517,213,49,158,9.6,0.9,240,29.380280012831804,21097,10546,15
02/11/2023,8.83,12:48:12 AM,5.27,172,631,221,68,164,9.7,1.0,233,4.438514599499809,21097,10546,3
